Label 1,Label 2,Label 3,Label 4,Label 5
ski,bow,ski_mask,shovel,dogsled
envelope,can_opener,hair_slide,whistle,letter_opener
maraca,spatula,cleaver,dishwasher,bassoon
milk_can,dishwasher,Windsor_tie,spatula,oil_filter
spatula,Windsor_tie,bassoon,dishwasher,milk_can
dishwasher,spatula,cleaver,ballpoint,hair_spray
envelope,can_opener,hair_slide,whistle,letter_opener
can_opener,cleaver,face_powder,screw,hatchet
frying_pan,milk_can,oboe,whiskey_jug,oil_filter
milk_can,frying_pan,dishwasher,face_powder,spatula
envelope,can_opener,hair_slide,whistle,letter_opener
plate_rack,turnstile,parallel_bars,bannister,croquet_ball
shoji,safety_pin,Band_Aid,spatula,combination_lock
scale,modem,screwdriver,broom,spatula
spatula,dishwasher,cleaver,can_opener,frying_pan
brassiere,plastic_bag,alp,conch,head_cabbage
nematode,letter_opener,dugong,electric_ray,loupe
safety_pin,shoji,hair_spray,sunscreen,face_powder
shoji,plate_rack,chiffonier,wardrobe,file
plate_rack,chiffonier,slide_rule,scale,parallel_bars
spatula,cleaver,hatchet,knee_pad,loupe
cleaver,spatula,letter_opener,sunscreen,ballpoint
rocking_chair,Band_Aid,nipple,folding_chair,cradle
sunscreen,can_opener,letter_opener,cleaver,lotion
cradle,bassinet,hair_slide,crib,spatula
mailbag,fire_screen,Dandie_Dinmont,muzzle,rock_beauty
tobacco_shop,container_ship,plate_rack,maze,medicine_chest
hen-of-the-woods,sidewinder,chiton,fox_squirrel,isopod
black_grouse,velvet,gazelle,hartebeest,fox_squirrel
velvet,platypus,nematode,common_newt,electric_ray
amphibian,speedboat,steel_arch_bridge,yawl,container_ship
hand-held_computer,whiskey_jug,packet,combination_lock,thimble
book_jacket,rule,hand-held_computer,hair_spray,prayer_rug
plastic_bag,sunscreen,book_jacket,packet,mousetrap
isopod,Petri_dish,chiton,letter_opener,French_loaf
airship,baseball,barn_spider,spaghetti_squash,gong
eggnog,Petri_dish,plane,plastic_bag,face_powder
rotisserie,meat_loaf,spaghetti_squash,isopod,French_loaf
pill_bottle,red_wine,ping-pong_ball,lotion,perfume
moving_van,trailer_truck,mobile_home,freight_car,boathouse
ping-pong_ball,hourglass,pill_bottle,dishwasher,lens_cap
trailer_truck,freight_car,lumbermill,mobile_home,moving_van
cliff,promontory,giant_schnauzer,cliff_dwelling,volcano
ski,bow,letter_opener,shovel,safety_pin
web_site,menu,packet,hand-held_computer,monitor
web_site,menu,toilet_tissue,packet,hand-held_computer
prayer_rug,tobacco_shop,toyshop,vending_machine,hard_disc
web_site,envelope,binder,notebook,book_jacket
prayer_rug,book_jacket,comic_book,bookshop,brass
sunscreen,web_site,lotion,safety_pin,envelope
oscilloscope,fountain_pen,handkerchief,nematode,ballpoint
fountain,bannister,greenhouse,steel_arch_bridge,radio_telescope
confectionery,window_screen,vault,greenhouse,altar
envelope,web_site,nematode,plunger,theater_curtain
web_site,envelope,nematode,plunger,cleaver
envelope,can_opener,hair_slide,whistle,letter_opener
safety_pin,envelope,sunscreen,web_site,loupe
radio,chest,sewing_machine,paddlewheel,greenhouse
nail,rotisserie,screw,screwdriver,chiffonier
sewing_machine,confectionery,cassette,washbasin,brass
nail,rotisserie,screw,screwdriver,chiffonier
jigsaw_puzzle,sewing_machine,confectionery,bakery,perfume
nail,rotisserie,screw,screwdriver,chiffonier
toyshop,radio,altar,tape_player,loudspeaker
nail,rotisserie,screw,screwdriver,chiffonier
aircraft_carrier,toyshop,doormat,jigsaw_puzzle,cassette
nail,rotisserie,screw,screwdriver,chiffonier
cassette,altar,tape_player,toyshop,cellular_telephone
nail,rotisserie,screw,screwdriver,chiffonier
cassette,tape_player,scoreboard,digital_clock,doormat
nail,rotisserie,screw,screwdriver,chiffonier
altar,toyshop,aircraft_carrier,greenhouse,sewing_machine
nail,rotisserie,screw,screwdriver,chiffonier
nail,rotisserie,screw,screwdriver,chiffonier
nail,rotisserie,screw,screwdriver,chiffonier
nail,rotisserie,screw,screwdriver,chiffonier
nail,rotisserie,screw,screwdriver,chiffonier
nail,rotisserie,screw,screwdriver,chiffonier
nail,rotisserie,screw,screwdriver,chiffonier
nail,rotisserie,screw,screwdriver,chiffonier
envelope,web_site,nematode,plunger,theater_curtain
web_site,envelope,nematode,plunger,cleaver
envelope,can_opener,hair_slide,whistle,letter_opener
safety_pin,envelope,sunscreen,web_site,loupe
harvestman,walking_stick,mantis,ant,barn_spider
plastic_bag,prayer_rug,handkerchief,envelope,fire_screen
jigsaw_puzzle,prayer_rug,window_screen,book_jacket,envelope
envelope,window_shade,shower_curtain,window_screen,handkerchief
handkerchief,shower_curtain,book_jacket,paper_towel,window_screen
shower_curtain,crossword_puzzle,window_screen,jigsaw_puzzle,prayer_rug
sundial,paper_towel,tick,envelope,lacewing
nematode,tick,lacewing,ant,knot
jigsaw_puzzle,book_jacket,crane,envelope,cliff
jigsaw_puzzle,envelope,book_jacket,handkerchief,prayer_rug
cliff,cliff_dwelling,book_jacket,shower_curtain,envelope
handkerchief,shower_curtain,envelope,binder,paper_towel
bath_towel,shower_curtain,handkerchief,window_shade,window_screen
envelope,prayer_rug,book_jacket,handkerchief,paper_towel
jigsaw_puzzle,handkerchief,paper_towel,prayer_rug,envelope
envelope,handkerchief,prayer_rug,window_screen,book_jacket
envelope,crossword_puzzle,jigsaw_puzzle,prayer_rug,quilt
book_jacket,handkerchief,envelope,prayer_rug,binder
book_jacket,window_shade,window_screen,binder,sliding_door
jigsaw_puzzle,shower_curtain,handkerchief,window_screen,crossword_puzzle
jigsaw_puzzle,shower_curtain,crossword_puzzle,handkerchief,window_screen
jigsaw_puzzle,crossword_puzzle,prayer_rug,pillow,envelope
envelope,handkerchief,prayer_rug,book_jacket,window_screen
book_jacket,jigsaw_puzzle,envelope,handkerchief,shower_curtain
envelope,jigsaw_puzzle,packet,shower_curtain,pillow
jigsaw_puzzle,crossword_puzzle,prayer_rug,book_jacket,pillow
plastic_bag,envelope,book_jacket,prayer_rug,jigsaw_puzzle
prayer_rug,envelope,window_shade,handkerchief,book_jacket
window_screen,book_jacket,face_powder,window_shade,shower_curtain
punching_bag,table_lamp,drum,ski,analog_clock
pick,scoreboard,odometer,puck,combination_lock
crossword_puzzle,oscilloscope,torch,prayer_rug,swab
punching_bag,table_lamp,drum,ski,analog_clock
pick,scoreboard,odometer,puck,combination_lock
crossword_puzzle,oscilloscope,space_shuttle,web_site,seashore
punching_bag,table_lamp,drum,ski,analog_clock
pick,scoreboard,odometer,puck,combination_lock
web_site,oscilloscope,handkerchief,crossword_puzzle,binder
punching_bag,table_lamp,drum,ski,analog_clock
pick,scoreboard,odometer,puck,combination_lock
oscilloscope,maze,crossword_puzzle,handkerchief,prayer_rug
punching_bag,table_lamp,drum,ski,analog_clock
pick,scoreboard,odometer,puck,combination_lock
maze,oscilloscope,crossword_puzzle,prayer_rug,handkerchief
punching_bag,table_lamp,drum,ski,analog_clock
pick,scoreboard,odometer,puck,combination_lock
oscilloscope,maze,crossword_puzzle,prayer_rug,handkerchief
punching_bag,table_lamp,drum,ski,analog_clock
pick,scoreboard,odometer,puck,combination_lock
maze,oscilloscope,crossword_puzzle,prayer_rug,slide_rule
punching_bag,table_lamp,drum,ski,analog_clock
pick,scoreboard,odometer,puck,combination_lock
oscilloscope,coucal,fountain_pen,red_wine,ballpoint
punching_bag,table_lamp,drum,ski,analog_clock
pick,scoreboard,odometer,puck,combination_lock
oscilloscope,crossword_puzzle,fountain_pen,paper_towel,coucal
envelope,web_site,nematode,plunger,theater_curtain
web_site,envelope,nematode,plunger,cleaver
envelope,can_opener,hair_slide,whistle,letter_opener
steel_arch_bridge,plate_rack,puck,folding_chair,loupe
puck,magnetic_compass,buckle,matchstick,coffee_mug
safety_pin,envelope,sunscreen,web_site,loupe
web_site,analog_clock,power_drill,nematode,digital_clock
printer,envelope,can_opener,web_site,photocopier
web_site,loupe,whistle,stopwatch,menu
lakeside,valley,sandbar,promontory,seashore
container_ship,apiary,lakeside,go-kart,balloon
seashore,promontory,alp,lakeside,volcano
